book,author(s),original_language,first_published,approximate_sales_in_millions,amazon_link
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,Russian,1932,36.4,https://www.amazon.com/How-Steel-Was-Tempered-Part/dp/1775289036/ref=sr_1_1?dib=eyJ2IjoiMSJ9.MtLf2tr7s7fu_hePtARQwYrH1YCiCs3fP-SLkvM1DX1wytXYHARU0yiTBWOA3T7iN-yyRaTtFcSMaA2G4VN2YwtH9wzFpb2-3wZZNpO061PbG6Lrzfkgjrno2PI2nnhlvqxbtfCNh8ygbwnKffBNUITXoDHmgARXO0OrtTZ8572861xWUfcYRWWpGGY8GaECDb5XUl6-sOGZtjTSCWaQDFIWKkRu1t8bcqneViIu7Y0.XX4m5frEVbUSQ657ubkvkGD8pz4capz2thQCCj8JITs&dib_tag=se&keywords=How+the+Steel+Was+Tempered&qid=1731968562&sr=8-1
War and Peace (Война и мир),Leo Tolstoy,Russian,1869,36.0,https://www.amazon.com/War-Peace-Leo-Tolstoy/dp/0199232768
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35.0,https://www.amazon.com/Adventures-Pinocchio-Avventure-English-Italian-Inglese-Italiano/dp/B0BD24W4MM/ref=sr_1_2?dib=eyJ2IjoiMSJ9.N5F9iJ0_1cuUQCkPleVjc52-wqNDaiUOLii4m-2lhS9cPE150brUILXTE1wqBM5SJcZYldikGelHZ8X1uD2KSGLGtoP_BiMWupEP-NuKgFTVRMQ5lJmufu9t5tbUaqh2prYtfNyD5E_tKTabVOSvVT9jddXps10wbhphC95Ynwu4VuTZ2FuFT2Qb29wZcxSYvViDzju-3gJKD_--xR0vxl8sp0-HcsNN2gQ_M-0PWXY.VseohZKcPhWk-O3OMSbS8rfOYyDlmuKzHEZOW52sAF4&dib_tag=se&keywords=The+Adventures+of+Pinocchio+%28Le+avventure+di+Pinocchio%29&qid=1731968600&sr=8-2
The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35.0,https://www.amazon.com/Diary-Young-Girl-Definitive/dp/0553577123/ref=sr_1_1?crid=PF5GPAFX40XC&dib=eyJ2IjoiMSJ9.WQZMa_WO2brzgw7ouYbCjlu79M8-MY1l9zMNhqUvy-UNtYGQxla53R9FQ5NYt7A0TLoS6Q_f7dY0vVO6pU-Hs0Yju3Us2kzfi5Xf-TWrTvxJnAj2j-RWely8E4dt7I37NcsGHi0H7Rrl_ukDLt_-JCP2XXR1BIMj7psalejR2Z8_W6uMpal_LHt6UOXO0gkry1cxlgPFuhT3178fv_m7Xv6wvWriLh-tZN_7P52Wp3M.7ksjGwxrkqUalsr7rOhXeG9DqJrHKbpa1aUkxZVhq2E&dib_tag=se&keywords=The+Diary+of+Anne+Frank+%28Het+Achterhuis%29&qid=1731968633&sprefix=the+diary+of+anne+frank+het+achterhuis+%2Caps%2C101&sr=8-1
Your Erroneous Zones,Wayne Dyer,English,1976,35.0,https://www.amazon.com/Your-Erroneous-Zones-audiobook/dp/B0000546LK/ref=sr_1_1?crid=1MX6SQP1CAN3D&dib=eyJ2IjoiMSJ9.vUhmTGod8NPRiw8yVqnZAdzQKUEcp1qeA9BcmfMUfpqTIkaAnnMfNnS1d51dUskRkNMWfH3Nme14lzXo8wNu6HNq3tYefXH5wlA0tbEKqWDMlhOfB_1rBpriWqGs3_dLhWbGhNqGtQNapeOe5KGW8x5gmqw5iUDZd_fNLtLyJueJr5JY9AfpbCatbVkvbTkq9xfRA-xFmnzTqAiOf6kKrtxXaRhLddVJGbibDgWaHW0.gJeV_EYLPJS2cnWkgj05_sRtUMj9jz_U0rNfXUDUZeM&dib_tag=se&keywords=Your+Erroneous+Zones&qid=1731968650&sprefix=your+erroneous+zones%2Caps%2C99&sr=8-1
The Thorn Birds,Colleen McCullough,English,1977,33.0,https://www.amazon.com/Thorn-Birds-Colleen-McCullough/dp/0380018179/ref=sr_1_2?dib=eyJ2IjoiMSJ9.oCb6z27i2_2EzVyILb3W4XaZmC75PE0c2pe_iTXC_YS3-XzNveMoyFq-cS5FwBdg_K287MaVyydeVrLKn86cXWoqMdZflBBiEiwWH4IxzdpctMuY11Ob7lkAWijyKLycf1beREy0h5NOET5LoekIEtH_9M-IrLUMJqiQcykAtJgreZL85W2EuIqSJg7Nfcb-5x8UKq8BRG7GAONFxDE7_xm-kg6Y6KGLFtLvL7_P8zg.HS-8AE_IHqD_ALnKa4SBTf71SwxNAnglmL6CqMFi3RQ&dib_tag=se&keywords=The+Thorn+Birds&qid=1731968700&sr=8-2
The Purpose Driven Life,Rick Warren,English,2002,33.0,https://www.amazon.com/Purpose-Driven-Life-What-Earth/dp/031033750X
The Kite Runner,Khaled Hosseini,English,2003,31.5,https://www.amazon.com/Kite-Runner-Khaled-Hosseini/dp/159463193X
Valley of the Dolls,Jacqueline Susann,English,1966,31.0,https://www.amazon.com/Valley-Dolls-Jacqueline-Susann/dp/0802125344
Alcoholics Anonymous Big Book,Bill Wilson,English,1939,30.0,https://www.amazon.com/Alcoholics-Big-Book/dp/1893007170/ref=sr_1_1?dib=eyJ2IjoiMSJ9.YHIkwMdvqCud-t1kLUkUGFgtV6GYuko1fyII8WgxLQ6shZ-jUXu3l8UVN57LyE4daVYXwNw4r-rGnhTPgeD0vWnLkLWnVBQieMIxSPkZs8yZt1EhLHeTU5w666vJvo6WXPt1cyvF4xKiXmY_fgfqH7lcBQqXD7NpUmpwXyqhGHbXeGjx9Z_wmPHuox9EynonROHPOSE7gV2GTh04LYLIAIwv5rB4GK-1xcjHlipTR6Q.4kMHSIqhblXFO0xX-JxFo26on4N27Uw5wP75zhHD1gs&dib_tag=se&keywords=Alcoholics+Anonymous+Big+Book&qid=1731968753&sr=8-1
How to Win Friends and Influence People,Dale Carnegie,English,1936,30.0,https://www.amazon.com/How-Win-Friends-Influence-People/dp/0671027034
The Great Gatsby,F. Scott Fitzgerald,English,1925,30.0,https://www.amazon.com/Great-Gatsby-Original-Fitzgerald-Classic/dp/B0BF3P5XZS/ref=sr_1_3?crid=1QLDWYPGFP6YH&dib=eyJ2IjoiMSJ9.oF-yws3iJXFTYaYx2asgP6af4XKKrYkTg9VQj5Spw-tiGj6gOmA5FpM_UQ_AW_f-j5UQeo9n1f7UNWpLBLytFodfLrfpLjVr2TYDgc0fAe8Crz6ISotQ_F_alSVHO8Qsaq5ExBvCNA8UoyzOZFXzgYoPozJMTC_aH4U0YayswthqWSdr3XJJs9Cjyqr7fiX1YbiqQ-9ZP-Ct8jaz9Pwi3--YuyIMGRd1WVvwSlGqmcE.p9A8hMIo6UiCtMQ8Mi4cH7CTLVeS6MfJ7z4o3mjje_Q&dib_tag=se&keywords=The+Great+Gatsby&qid=1731968853&s=books&sprefix=the+great+gatsby%2Cstripbooks%2C98&sr=1-3
Gone with the Wind,Margaret Mitchell,English,1936,30.0,https://www.amazon.com/Gone-Wind-Margaret-Mitchell/dp/1451635621
Rebecca,Daphne du Maurier,English,1938,30.0,https://www.amazon.com/Rebecca-Daphne-du-Maurier-ebook/dp/B0DCPNV119/ref=sr_1_1?crid=1B4IU4U6OV53A&dib=eyJ2IjoiMSJ9.4MI1dgG_P3L_gh2CZZS-oXt4GAzgZLzmVSi0hBxxVci7POMLNGO86uZS8pq__ehXxYVVvM8SXfO1dXNfUqtOdyLMUYy_Uyi98LP15GWE8Auu8rhnjSEh51NI7p8TZK_3zDeXRnczb9OMSGenTGDFy8qFAPJaOReZGx9GOSkbMZSWlHukvzbk-q-0ZD1sAvfkA_LqXo_a4zGmQrkBCzCbek7GJSc4xYfWVaWLk-XvgiI.N_tPIiNm0AcnjB0Ayyk5shpJMI4ALQmwUHWvSGe5yeU&dib_tag=se&keywords=Rebecca+book&qid=1731968896&s=books&sprefix=rebecca+book%2Cstripbooks%2C104&sr=1-1
Nineteen Eighty-Four,George Orwell,English,1949,30.0,https://www.amazon.com/1984-Signet-Classics-George-Orwell/dp/0451524934
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30.0,https://www.amazon.com/Girl-Dragon-Tattoo-Millennium/dp/0307454541
The Lost Symbol,Dan Brown,English,2009,30.0,https://www.amazon.com/Lost-Symbol-Robert-Langdon/dp/0307950689
The Hunger Games,Suzanne Collins,English,2008,29.0,https://www.amazon.com/Hunger-Games-Special-Edition-audiobook/dp/B07HHJ7669/ref=sr_1_3?crid=26JVZM99SKEM1&dib=eyJ2IjoiMSJ9._5vc56vf0xUR4IvbPXkD1LbVt-LvyAzI2nI1fJ2bD3urOayhBDS0sy_DQP39EudUYBciQoWlvkYx5Ga8wVpsOQ-PYKt6C8uCKNvkZzgobyhWNVw9fbCmFgIovyULeMOmDqviTJPfN6fas_7-5ZZWgfgpu83LfMv1FleomwJNKejMdc53Rkv5kmJiuQMscWhPQlVxSX2NQUhC56WH4Hr2MfPwHzuR1GiI51H0hpjOGqY.ehO4iwUIwmhRcvRwBD1Wq6XPm2LaLbFzLML4O16JJ3I&dib_tag=se&keywords=The+Hunger+Games&qid=1731968958&s=books&sprefix=the+hunger+games%2Cstripbooks%2C183&sr=1-3
James and the Giant Peach,Roald Dahl,English,1961,28.0,https://www.amazon.com/James-Giant-Peach-Roald-Dahl/dp/0142410365
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,Russian,1945,26.0,https://www.amazon.com/Young-Guard-Alexander-Fadeyev/dp/0898751292/ref=sr_1_1?crid=21S7LI86SGSEE&dib=eyJ2IjoiMSJ9.RoC5MxU4Uj9-No9Pjla6VsI1fOQcM37eRMD6XLa50tdmEFq5M8UgnlwxMtlhXdUpGsXGCcjXB7-BdsBmFrHuoJOG_lOt-FLRITXJ6BBB2tw4F_cnvQVN5MBqQ66d41kZ9TFiupEstuNkO7MvfNSCHdyUPHvPg7iu02nueabCnJ8_SV_hDhx3iI9oiH72Fuz_LzmA7qpcE1rhTOsOXj0DBqAC9aGGlrbFTH2kjdFewS4.TvHmseGKHLaqNBD8_qmWomemY0vfS60G2HTizmXxFS4&dib_tag=se&keywords=The+Young+Guard&qid=1731969008&s=books&sprefix=the+young+guard%2Cstripbooks%2C88&sr=1-1
Who Moved My Cheese?,Spencer Johnson,English,1998,29.0,https://www.amazon.com/Who-Moved-My-Cheese-Amazing/dp/0399144463
A Brief History of Time,Stephen Hawking,English,1988,25.0,https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25.0,https://www.amazon.com/Virginie-French-Jacques-Henri-Bernardin-Saint-Pierre-ebook/dp/B01MT04T2F/ref=sr_1_1?crid=1H15FA6PTQF85&dib=eyJ2IjoiMSJ9.ramAAPzsuzw51VcAlcp1SzPzsdtBTKXBZA6GKHh_f5WxavEjbI25RaBDJhMQAOBkVaCZZc2dljNVCCZBgK0g2wzb_5t_mdzZ6y6KSRTRERGfFpLKojBzKE8doDGKOjA1WPv2goKONc8RbICQdUN_ZFrjNCllWQZswgOKQqzIx45n7L9yH6hyE-bzcK59Ta5AubybjdCndOsH4a6LpqCII_gOK7eId7iMOCH3CoTjWGs.3szfvqUZFR_BamtlGJZDatKyHNpSYZNukAmXFMoy8l8&dib_tag=se&keywords=Paul+et+Virginie&qid=1731969053&s=books&sprefix=paul+et+virginie%2Cstripbooks%2C104&sr=1-1
Lust for Life,Irving Stone,English,1934,25.0,https://www.amazon.com/Lust-Life-Irving-Stone/dp/0452262496/ref=sr_1_1?crid=1OMTDML42GU8A&dib=eyJ2IjoiMSJ9.8J-IR5uSqozYQ5cL7kj__gZ3QsMMUYP9ygCjvVSSgCWWnSIikfh4mtPedX-OPOY1vJxz8ePZZn-v1duppyzDO96Z6iiSL-0c5CCoEgP-Sgdzw2oS9Ls0zSr32-uDsiceBSqfRxsPb91-l0wuw0A_fvm4WTvp_nfrxXo_Tjwvm2nQ9qHpYLTa2OYxeSiU3IJPhSBMsXXQnuQeutEnG4FYIkf8DZiMh_B4ExkPsMpGYS0.nskqe1AFSuIeTO6Eu7NPKP2CZP9fpWO9aW4bPlY6-e8&dib_tag=se&keywords=Lust+for+Life&qid=1731969040&s=books&sprefix=lust+for+life%2Cstripbooks%2C93&sr=1-1
The Wind in the Willows,Kenneth Grahame,English,1908,25.0,https://www.amazon.com/Wind-Willows-Kenneth-Grahame/dp/014132113X
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25.0,https://www.amazon.com/Habits-Highly-Effective-People-Powerful/dp/0743269519
Virgin Soil Upturned (Поднятая целина),Mikhail Sholokhov,Russian,1935,24.0,https://www.amazon.com/Virgin-Soil-Upturned-Book-One/dp/0898751136/ref=sr_1_2?crid=R6CTDXSD60P2&dib=eyJ2IjoiMSJ9.DVs2YyoCnXMwZaoaeoiQzZVK4qxIwWA57CtVXUyJuIrzpnX_MC6PobWmoP_YlEZ_Nljl2dWUgdQ9EigP0NN3hoVSED8GKoNZ2ehxb1NxPuSR9_gA18j6mJI6zPw2OXYsHU7y1XRzEMVeLwZ5IZuzmbN77eOHN3h9s6g3m8AT8Nj-8yUnH90wtZQhctYk66efyWsU7RycGZgvcL3tRy3EXA.6YoXWRUu0uRTrgjyr68e841InPSiuiZhKQWOi6KJg10&dib_tag=se&keywords=Virgin+Soil+Upturned&qid=1731969096&s=books&sprefix=virgin+soil+upturned%2Cstripbooks%2C89&sr=1-2
The Celestine Prophecy,James Redfield,English,1993,23.0,https://www.amazon.com/Celestine-Prophecy-James-Redfield/dp/0446671002
The Fault in Our Stars,John Green,English,2012,23.0,https://www.amazon.com/Fault-Our-Stars-John-Green/dp/014242417X
The Girl on the Train,Paula Hawkins,English,2015,23.0,https://www.amazon.com/Girl-Train-Paula-Hawkins/dp/1594634025
The Shack,William P. Young,English,2007,22.5,https://www.amazon.com/Shack-William-P-Young/dp/0964729237
The Godfather,Mario Puzo,English,1969,21.0,https://www.amazon.com/Godfather-Mario-Puzo/dp/0451205766
Love Story,Erich Segal,English,1970,21.0,https://www.amazon.com/Love-Story-Anniversary-Erich-Segal/dp/0062979477/ref=sr_1_1?crid=2AA3MDMMGP8UZ&dib=eyJ2IjoiMSJ9.MUYy7CCpiNoX4JhxQuBi_9KQpcTfV-Bt1e-9gAXxD8OuEPciZV-eusOktySpSplmQhDAznGCCIbA0f_ZygbRe43xUlUz4w0OxqTPhS3z34ItZAinV_Oxm29DgKomrdx_nUhgGP4pTI_2Q0m1EmGeV3EQBzfMEohDT_InOsdylIqYzjuU9Akd2IEy5xxRVdJkJjWXM2yzMfJT8jk2GmHKPA-8QO4vST8HQkYBz6eVhAE.VgBzVCcmbREOnHz5dhI3bymPi2yvV00ZV6vtPVuw-JQ&dib_tag=se&keywords=love+story+erich+segal&qid=1731969195&sprefix=Love+Story+er%2Caps%2C99&sr=8-1
Catching Fire,Suzanne Collins,English,2009,21.0,https://www.amazon.com/Catching-Fire-Hunger-Games-Book/dp/0439023491
Mockingjay,Suzanne Collins,English,2010,20.0,https://www.amazon.com/Mockingjay-Hunger-Games-Book-3/dp/0439023513
Kitchen (キッチン),Banana Yoshimoto,Japanese,1988,20.0,https://www.amazon.com/Kitchen-Banana-Yoshimoto-audiobook/dp/B011463SRA/ref=sr_1_1?crid=3JA2Q6Q2VMS5E&dib=eyJ2IjoiMSJ9.WuJrirhS_x_RKOQ7BpwLHte4d8Ps8o0PxzK5tICWeexsDUEp6NkN-wPCSCXQ_oN1JzTsmk11eevHFGjHMpA6NmhMhy09658oixn2qJr4MeIk-bIY9xSCY8BS2oYPo-5-_UK1tyaeVZIPJ-u2hrXyktn9IxzEXOSzR8MWWbUuHGFhi2ooVlLTXGP2wSptHpPpkRxCmoYo8Qr4msQoF3a5S8i8JpmX6P7-cHy8zc9QToQ.i8AAEFkni1VdnY7kwqy9sK0uS-GvCQSQmJfExrLbGxA&dib_tag=se&keywords=Kitchen&qid=1731969266&s=audible&sprefix=kitchen%2Caudible%2C120&sr=1-1
Andromeda Nebula (Туманность Андромеды),Ivan Yefremov,Russian,1957,20.0,https://www.amazon.com/Andromeda-Nebula-Ivan-Yefremov/dp/1497377730/ref=sr_1_1?crid=31PP6UHE4OLBD&dib=eyJ2IjoiMSJ9.RUd59SGnQlQz1L59Wf7_oGHLnrJl5zaJz3TbEvIWm-6IYYOMoAjB2CzaT0nCEjAAZw13DePcqzxeTYQM8SjEATOGlxtG4q2mCAf-xyE1l6B1d2zWolzmhQhc927a_qdNTYoxnxf1JoklxFEt3JXlojGZaHzh1wOHERKRx-16U5gwdcNifGJFfxdgwjDyev7twbUKcq3ojZ3A-gy69z1BQIOnhTEmwzYJtupKdTjCmHs.8mPPfWR6-F_dTiUNaGAJ0H7UzNDP2I5BrpWd3Srsti4&dib_tag=se&keywords=Andromeda+Nebula&qid=1731969251&s=audible&sprefix=andromeda+nebula+%2Caudible%2C90&sr=1-1-catcorr
Autobiography of a Yogi (योगी कथामृत),Paramahansa Yogananda,Hindi,1946,20.0,https://www.amazon.com/Autobiography-of-Yogi-Ben-Kingsley-audiobook/dp/B0006IU7LS/ref=sr_1_1?crid=1YQKQ3C34ZQOA&dib=eyJ2IjoiMSJ9.JWkEsunxvQv4ZLblIUyE311ZGOkry5G3Rzh5Bn49n_N_MBLsK8gam6s_F12rAd3zwgAAuEkHlIahSqpyLARMThNANZeIwcQOvql-65wEhP-NZ3XK9RfP09yK7HaYbUVeoAR60WFO00Rw32EBc-8tZNCUB5gAy4AIQEa7t9PXLuHQa-liYe30UsSKumy4L3WkAF4PKGutmjuBtTewS4JgY2G7QBa_4y5ZDDn_0qmrtyM.iIUdpvsicmki7JTtfbPllotFdFTDRw9hUkzKYII8EqA&dib_tag=se&keywords=autobiography+of+a+yogi&qid=1731969236&s=books&sprefix=autobiography+of+a+yog%2Cstripbooks%2C88&sr=1-1
Gone Girl,Gillian Flynn,English,2012,20.0,https://www.amazon.com/Gone-Girl-Gillian-Flynn/dp/0307588378
All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20.0,https://www.amazon.com/All-Quiet-Western-Front-Remarque/dp/0449213943
The Bermuda Triangle,Charles Berlitz,English,1974,20.0,https://www.amazon.com/Bermuda-Triangle-Charles-Berlitz/dp/B002BQCHUM/ref=sr_1_1?crid=3MFPZVV0W68Y4&dib=eyJ2IjoiMSJ9.LHEiBouc-SHU74Gi_2GQ5R1SJt7-s4x11a-rxXrwrGfMT5O1tggrRaHBsKbHKX7i80b_NlVIulC8LYjqkIVPq9DrQlmSK_1DWUy8oOtpWTapulLJvv6B3Rphiq2Rqh_AY4NHDTjbRF7ATXlSDemqx1BPL42NbVTzaumSqfjqaxS74itW2o1PziDRplt-TO0QTM3Dwd8S_X1Y0BJ8_MU32Ptlqi361dLrlhVe-Az5wjY.vw1-PEF5pcCijXvAAc6lzH_zKoWx114tqBgjewXcz_4&dib_tag=se&keywords=the+bermuda+triangle+charles&qid=1731969317&s=books&sprefix=the+bermuda+triangle+charkes%2Cstripbooks%2C114&sr=1-1
Things Fall Apart ,Chinua Achebe,English,1958,20.0,https://www.amazon.com/Things-Fall-Apart-Chinua-Achebe/dp/0385474547
Animal Farm ,George Orwell,English,1945,20.0,https://www.amazon.com/Animal-Farm-George-Orwell/dp/0451526341
Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20.0,https://www.amazon.com/Wolf-Totem-Jiang-Rong-audiobook/dp/B001QKBHTG/ref=sr_1_1?crid=23GXFLE22DOXI&dib=eyJ2IjoiMSJ9.jt6gUZNm6Jrf3VWh9tkwDipreHF23K_g-8JqeilrgQEjS6KszPcGyx-3krcb1z_x57pwUaalMSdFLiU8kZ1LBAF6xZUzkEPF2lEzx0C7oJm4uc5inyH44r3r8VIoGBQwTdV3cuJAyj4rgj5frtL6pcN-w7aGlK7PECPoOVzbksNjvMyZAR14PwDK8tZ2j1RqoQX2LaGmftm0-dgIP8_nPayvFtxcMPoXfnwHAt3flKY.PllwUt2vF5n6ZEv9OFHkIKxXDSjXdF4wbB07ZATCy9o&dib_tag=se&keywords=Wolf+Totem&qid=1731969369&s=books&sprefix=wolf+totem%2Cstripbooks%2C108&sr=1-1
The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20.0,https://www.amazon.com/Happy-Hooker-My-Own-Story/dp/0060014164/ref=sr_1_1?crid=1UH7VED0HWJPF&dib=eyJ2IjoiMSJ9.hYIR7yKmkZqYsuV35DftqR2dibnSkRIhlVi6pi1xM0zGjHj071QN20LucGBJIEps.g90Nc1YLPkxGr2ogs91Lp-ODQnLOtkd32S8KvtBL-ZI&dib_tag=se&keywords=The+Happy+Hooker%3A+My+Own+Story&qid=1731969352&s=books&sprefix=the+happy+hooker+my+own+story%2Cstripbooks%2C93&sr=1-1
Jaws,Peter Benchley,English,1974,20.0,https://www.amazon.com/Jaws-Peter-Benchley/dp/0345544145
Love You Forever,Robert Munsch,English,1986,20.0,https://www.amazon.com/Love-You-Forever-Robert-Munsch/dp/0920668372
